2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 4c5ed1dba15180d63ee9d25af96d932bef7a52605ae9a3a1970f377c4dc8628a at height 60
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block eeb610a3aca7b8fdfb03ea0ca24a78ca93141e9e398c12bba8148fb49647548a at height 61
2019-07-19 13:02:23.550 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 07e6d58a1d09af7e39c28b7cb5cf1ceee668e90cc38c40ad3dfb0dc12475ffc3 at height 62
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 164d3ecec0589b441ede66d4696e2c6418ce50bc52119ed5c510b04c7fe479d6 at height 63
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 3d3c20b26ef909914833da2a309c3cf7f405aa463368567f23fc40f869b6279f at height 64
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 2b91734cfe8eddad5939b940b60dac5d9b4d93595efccfb64d553cb1397bf8fe at height 65
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ac8efb74992c700a19627fc15567eb6ef05d098536cd8385bb9a031e85b1643e at height 66
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 4fec524c429f8163a53622ab44f78f6e05ec2e73e20792b9f96df231b4e83a88 at height 67
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 16d5d01eb9e4eeaf06d958f7a9fed09a4e5d51e73e935e665af4c6992e0c73fa at height 68
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block bcbafb542cd673da91486aa9bbf6bbf2b51d0bc700d466d136fbe09ee6197a04 at height 69
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ed6de6d17f830e05c8b2342f036b3bc6118a64f7f0dbc79c67c29807089491bd at height 70
2019-07-19 13:02:23.551 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 41c6153a4ed7fdac9959af46285c7cbd7ec9ecf95a7a1bc93bc9d9a7dd78a901 at height 71
2019-07-19 13:02:23.552 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ea33f218e9928fa595f4a30059202f44335948ad2d9eac15a12784a44cb82495 at height 72
2019-07-19 13:02:23.552 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block d8689ee736ef3ff9f59f0caaa21ea095728efee83d3ec54918dc794bd8c040fb at height 73
